OBJECTID,tipo_muestra,longitude,latitude,Departamento,Municipio,tecnica_medicion,Li_ppm2,Cu_ppm2,Co_ppm2,Ni_ppm2,La_ppm2,Ce_ppm2,Pr_ppm2,Nd_ppm2,Sm_ppm2,Eu_ppm2,Gd_ppm2,Tb_ppm2,Dy_ppm2,Ho_ppm2,Er_ppm2,Tm_ppm2,Yb_ppm2,Lu_ppm2,Sc_ppm2,Y_ppm2
6575,SU: Suelo,-74.23099976,5.792109409,BOYACA,OTANCHE,Plasma (ICP),,26,,73,,,,,,,,,,,,,,,,17
6797,SU: Suelo,-74.76214231,5.795252235,ANTIOQUIA,SONSÓN,ICP,,,9,,26.1,50,,11,3.5,0.7,,-0.5,,,,,1.7,0.28,17.4,
6798,SU: Suelo,-74.76214231,5.795252235,ANTIOQUIA,SONSÓN,Plasma (ICP),,24,,35,,,,,,,,,,,,,,,,3
6911,SU: Suelo,-74.65536465,5.797053079,BOYACA,SONSÓN,ICP,,,11,,45.3,75,,27,6.3,1.4,,0.8,,,,,3.2,0.5,18.1,
6912,SU: Suelo,-74.65536465,5.797053079,BOYACA,SONSÓN,Plasma (ICP),,34,,30,,,,,,,,,,,,,,,,15
7145,SU: Suelo,-75.06332256,5.798108353,ANTIOQUIA,SONSÓN,ICP,,,8,,23.6,50,,21,4.5,0.9,,-0.5,,,,,3.3,0.51,13.9,
7146,SU: Suelo,-75.06332256,5.798108353,ANTIOQUIA,SONSÓN,Plasma (ICP),,9,,13,,,,,,,,,,,,,,,,6
7424,SU: Suelo,-74.80711702,5.805919965,ANTIOQUIA,SONSÓN,ICP,,,20,,58.9,138,,46,9.9,1.9,,-0.5,,,,,3.7,0.57,24.7,
7425,SU: Suelo,-74.80711702,5.805919965,ANTIOQUIA,SONSÓN,Plasma (ICP),,40,,31,,,,,,,,,,,,,,,,4
8253,SU: Suelo,-74.41407794,5.822585256,BOYACA,PUERTO BOYACÁ,Activación neutrónica,,,12,,14.9,25,,-5,1.9,0.4,,-0.5,,,,,1.5,0.23,9.2,
8254,SU: Suelo,-74.41407794,5.822585256,BOYACA,PUERTO BOYACÁ,Plasma (ICP),,5,,25,,,,,,,,,,,,,,,,3
8466,SU: Suelo,-74.23100894,5.826019653,BOYACA,OTANCHE,Activación neutrónica,,,29,,55.8,94,,47,8.4,1.6,,1.1,,,,,4.3,0.64,17,
8467,SU: Suelo,-74.23100894,5.826019653,BOYACA,OTANCHE,Plasma (ICP),,22,,36,,,,,,,,,,,,,,,,20
8679,SU: Suelo,-74.69983864,5.829413335,ANTIOQUIA,SONSÓN,ICP,,,22,,26.3,63,,24,4.9,1.3,,-0.5,,,,,2.7,0.43,17.7,
8680,SU: Suelo,-74.69983864,5.829413335,ANTIOQUIA,SONSÓN,Plasma (ICP),,34,,29,,,,,,,,,,,,,,,,15
8892,SU: Suelo,-74.8610592,5.83025196,ANTIOQUIA,SONSÓN,ICP,,,12,,17.6,59,,11,2.7,0.7,,-0.5,,,,,1.7,0.32,19.3,
8893,SU: Suelo,-74.8610592,5.83025196,ANTIOQUIA,SONSÓN,Plasma (ICP),,38,,53,,,,,,,,,,,,,,,,1
9036,SU: Suelo,-74.88892245,5.830755017,ANTIOQUIA,SONSÓN,ICP,,,19,,37.8,84,,30,6.4,1.4,,0.9,,,,,4.3,0.62,18.6,
9037,SU: Suelo,-74.88892245,5.830755017,ANTIOQUIA,SONSÓN,Plasma (ICP),,39,,47,,,,,,,,,,,,,,,,9
9140,SU: Suelo,-74.88892245,5.830755017,ANTIOQUIA,SONSÓN,ICP,,,21,,42.7,79,,25,6.9,1.4,,-0.5,,,,,4.4,0.65,18.8,
9141,SU: Suelo,-74.88892245,5.830755017,ANTIOQUIA,SONSÓN,Plasma (ICP),,31,,60,,,,,,,,,,,,,,,,36
9237,SU: Suelo,-74.77269527,5.831082296,ANTIOQUIA,SONSÓN,ICP,,,16,,40.6,83,,22,6.4,1.2,,0.9,,,,,3,0.44,23.7,
9238,SU: Suelo,-74.77269527,5.831082296,ANTIOQUIA,SONSÓN,Plasma (ICP),,77,,42,,,,,,,,,,,,,,,,9
9441,SU: Suelo,-74.5026092,5.834136057,BOYACA,PUERTO BOYACÁ,Activación neutrónica,,,9,,27.7,43,,-5,2.5,0.7,,-0.5,,,,,1.2,0.18,10.6,
9442,SU: Suelo,-74.5026092,5.834136057,BOYACA,PUERTO BOYACÁ,Plasma (ICP),,15,,19,,,,,,,,,,,,,,,,4
